staffId,name,age,gender,position,skills,experience,educationLevel
S001,姓名001,53,Female,Team Leader,"['Problem Solving', 'Leadership', 'Leadership']",17,Master
S002,姓名002,39,Male,Team Leader,"['Data Analysis', 'Innovation', 'Innovation']",8,Master
S003,姓名003,32,Male,Team Leader,"['Machine Learning', 'Innovation', 'Communication']",10,Master
S004,姓名004,45,Female,Manager,"['Leadership', 'Innovation', 'Machine Learning', 'Data Analysis']",2,Bachelor
S005,姓名005,43,Male,Team Leader,['Innovation'],19,PhD
S006,姓名006,47,Male,Developer,"['Communication', 'Innovation', 'Machine Learning', 'Communication']",9,Bachelor
S007,姓名007,35,Male,Team Leader,"['Innovation', 'Communication', 'Leadership']",7,PhD
S008,姓名008,35,Male,Researcher,"['Leadership', 'Programming', 'Project Management']",4,Bachelor
S009,姓名009,48,Male,Researcher,"['Communication', 'Project Management', 'Project Management', 'Communication']",18,PhD
S010,姓名010,48,Female,Manager,"['Innovation', 'Programming', 'Leadership']",13,Bachelor
S011,姓名011,27,Female,Researcher,"['Leadership', 'Machine Learning', 'Leadership', 'Communication']",11,Master
S012,姓名012,46,Female,Developer,['Innovation'],4,Bachelor
S013,姓名013,26,Male,Team Leader,"['Innovation', 'Innovation', 'Innovation', 'Problem Solving']",4,PhD
S014,姓名014,48,Male,Manager,"['Leadership', 'Innovation', 'Leadership']",10,Bachelor
S015,姓名015,54,Male,Team Leader,"['Machine Learning', 'Data Analysis', 'Data Analysis', 'Communication']",5,Bachelor
S016,姓名016,26,Female,Team Leader,"['Communication', 'Communication', 'Communication']",9,Bachelor
S017,姓名017,45,Male,Developer,"['Communication', 'Programming']",3,Master
S018,姓名018,57,Male,Researcher,"['Communication', 'Innovation', 'Data Analysis']",17,Bachelor
S019,姓名019,36,Female,Researcher,"['Project Management', 'Programming', 'Communication']",3,Master
S020,姓名020,46,Male,Team Leader,['Machine Learning'],16,Master
S021,姓名021,49,Female,Manager,"['Innovation', 'Leadership', 'Programming']",4,Bachelor
S022,姓名022,51,Female,Researcher,"['Programming', 'Innovation', 'Data Analysis', 'Machine Learning']",18,Bachelor
S023,姓名023,52,Female,Manager,"['Innovation', 'Leadership', 'Innovation']",17,Bachelor
S024,姓名024,40,Male,Researcher,['Machine Learning'],7,PhD
S025,姓名025,39,Male,Manager,"['Communication', 'Programming', 'Communication', 'Programming']",5,Bachelor
S026,姓名026,27,Male,Developer,"['Data Analysis', 'Machine Learning']",12,Master
S027,姓名027,31,Male,Manager,['Programming'],17,Bachelor
S028,姓名028,45,Male,Developer,"['Programming', 'Leadership', 'Communication', 'Programming']",13,PhD
S029,姓名029,33,Male,Developer,"['Data Analysis', 'Machine Learning', 'Leadership']",3,Bachelor
S030,姓名030,42,Male,Manager,"['Problem Solving', 'Programming', 'Programming', 'Innovation']",9,PhD
S031,姓名031,28,Female,Developer,"['Leadership', 'Innovation', 'Data Analysis']",17,PhD
S032,姓名032,49,Male,Team Leader,"['Project Management', 'Leadership', 'Project Management', 'Problem Solving']",17,Bachelor
S033,姓名033,38,Female,Developer,"['Project Management', 'Data Analysis']",16,Master
S034,姓名034,33,Male,Researcher,"['Communication', 'Innovation', 'Project Management', 'Innovation']",13,PhD
S035,姓名035,50,Male,Manager,"['Communication', 'Problem Solving', 'Project Management']",19,Bachelor
S036,姓名036,26,Male,Team Leader,"['Data Analysis', 'Project Management', 'Project Management']",17,Bachelor
S037,姓名037,44,Female,Manager,"['Leadership', 'Innovation']",4,Master
S038,姓名038,52,Female,Researcher,['Leadership'],12,PhD
S039,姓名039,31,Female,Researcher,"['Communication', 'Innovation', 'Problem Solving']",9,PhD
S040,姓名040,32,Female,Researcher,['Project Management'],19,Bachelor
S041,姓名041,59,Male,Developer,"['Project Management', 'Data Analysis', 'Project Management']",12,Bachelor
S042,姓名042,38,Female,Developer,['Innovation'],9,Master
S043,姓名043,41,Male,Manager,['Machine Learning'],7,Master
S044,姓名044,28,Male,Manager,"['Problem Solving', 'Leadership']",14,PhD
S045,姓名045,26,Female,Team Leader,"['Programming', 'Machine Learning', 'Leadership', 'Innovation']",19,PhD
S046,姓名046,30,Female,Team Leader,"['Communication', 'Innovation', 'Communication', 'Machine Learning']",15,Bachelor
S047,姓名047,28,Female,Manager,"['Problem Solving', 'Problem Solving', 'Machine Learning']",16,PhD
S048,姓名048,53,Female,Developer,"['Project Management', 'Innovation']",5,Master
S049,姓名049,42,Female,Researcher,"['Problem Solving', 'Communication', 'Data Analysis']",3,Master
S050,姓名050,50,Female,Manager,['Project Management'],12,Bachelor
S051,姓名051,58,Female,Team Leader,"['Communication', 'Programming', 'Communication']",4,Master
S052,姓名052,34,Female,Developer,"['Project Management', 'Communication']",16,Master
S053,姓名053,38,Male,Manager,['Machine Learning'],7,Master
S054,姓名054,55,Female,Manager,"['Communication', 'Problem Solving']",13,Master
S055,姓名055,39,Female,Developer,"['Data Analysis', 'Machine Learning']",10,Bachelor
S056,姓名056,32,Male,Manager,['Leadership'],7,Bachelor
S057,姓名057,38,Female,Developer,"['Programming', 'Machine Learning', 'Machine Learning', 'Machine Learning']",14,PhD
S058,姓名058,47,Male,Researcher,['Problem Solving'],5,Master
S059,姓名059,45,Male,Developer,"['Communication', 'Programming', 'Innovation', 'Machine Learning']",3,PhD
S060,姓名060,40,Female,Developer,"['Problem Solving', 'Data Analysis']",11,Bachelor
